Athlete ID ,Day of Week (1 is Sunday),Date,FATIGUE,SLEEP QUALITY,GEN. SORNESS,STRESS,MOOD,HOURS SLEPT,,,,,,,,,
11,5,10/23/2014,4,4,4,4,4,8,,,,,,,,,
11,6,10/24/2014,4,4,4,3,4,7,,,,,,,,,
11,7,10/25/2014,4,4,4,3,4,8,,,,,,,,,
11,1,10/26/2014,4,4,4,3,4,8.5,,,,,,,,,
11,2,10/27/2014,4,4,4,2,4,8,,,,,,,,,
11,3,10/28/2014,4,4,4,2,4,8,,,,,,,,,
11,4,10/29/2014,4,4,4,1,4,8,,,,,,,,,
11,5,10/30/2014,4,4,4,2,4,8,,,,,,,,,
11,6,10/31/2014,4,4,4,2,4,9,,,,,,,,,
11,7,11/1/2014,4,4,4,4,4,8,,,,,,,,,
11,1,11/2/2014,4,4,4,2,4,9,,,,,,,,,
11,2,11/3/2014,3,4,4,2,4,7,,,,,,,,,
11,3,11/4/2014,3,3,4,2,4,6,,,,,,,,,
11,4,11/5/2014,3,4,3,3,4,7.5,,,,,,,,,
11,5,11/6/2014,3,4,3,3,4,8,,,,,,,,,
11,6,11/7/2014,4,4,3,3,4,7,,,,,,,,,
11,7,11/8/2014,4,4,3,3,4,8,,,,,,,,,
11,1,11/9/2014,4,4,3,3,4,7.5,,,,,,,,,
11,2,11/10/2014,3,4,4,3,4,7,,,,,,,,,
11,3,11/11/2014,4,4,3,3,4,9.5,,,,,,,,,
11,4,11/12/2014,4,4,3,3,4,7.5,,,,,,,,,
11,5,11/13/2014,4,4,4,3,4,8.5,,,,,,,,,
10,4,9/17/2014,3,4,3,3,4,9,,,,,,,,,
10,5,9/18/2014,3,3,2,3,4,10,,,,,,,,,
10,6,9/19/2014,4,3,3,3,4,10,,,,,,,,,
10,7,9/20/2014,2,3,2,3,4,8,,,,,,,,,
10,1,9/21/2014,2,4,2,2,4,10,,,,,,,,,
10,3,9/23/2014,2,3,2,2,4,8,,,,,,,,,
10,4,9/24/2014,2,3,2,3,3,8,,,,,,,,,
10,5,9/25/2014,3,3,4,2,3,9,,,,,,,,,
10,6,9/26/2014,2,3,3,3,4,8,,,,,,,,,
10,2,9/29/2014,2,3,3,3,4,7,,,,,,,,,
10,3,9/30/2014,2,4,3,3,4,8,,,,,,,,,
10,4,10/1/2014,3,3,2,3,3,9,,,,,,,,,
10,5,10/2/2014,3,4,3,2,3,9,,,,,,,,,
10,6,10/3/2014,3,4,3,3,3,9,,,,,,,,,
10,1,10/5/2014,4,3,3,2,1,8,,,,,,,,,
10,2,10/6/2014,4,3,4,2,2,8,,,,,,,,,
